[I 240812 10:54:51 API:64] on open
[I 240812 10:55:15 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6161905, 'exchange_timestamp': 1723440315000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:16 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6162679, 'exchange_timestamp': 1723440316000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:17 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6163453, 'exchange_timestamp': 1723440317000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:18 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6164208, 'exchange_timestamp': 1723440318000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:18 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6164238, 'exchange_timestamp': 1723440318000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:19 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6165046, 'exchange_timestamp': 1723440319000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:20 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6165846, 'exchange_timestamp': 1723440320000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:21 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6166650, 'exchange_timestamp': 1723440321000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:22 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6167428, 'exchange_timestamp': 1723440322000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:23 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6168185, 'exchange_timestamp': 1723440323000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:24 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6169018, 'exchange_timestamp': 1723440324000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:25 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6169602, 'exchange_timestamp': 1723440325000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:25 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6169801, 'exchange_timestamp': 1723440325000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:26 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6170562, 'exchange_timestamp': 1723440326000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:27 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6171303, 'exchange_timestamp': 1723440327000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:28 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6172040, 'exchange_timestamp': 1723440328000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:29 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6172784, 'exchange_timestamp': 1723440329000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:30 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6173529, 'exchange_timestamp': 1723440330000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:31 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6174272, 'exchange_timestamp': 1723440331000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:32 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6174859, 'exchange_timestamp': 1723440332000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:32 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6175041, 'exchange_timestamp': 1723440332000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:33 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6175809, 'exchange_timestamp': 1723440333000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:34 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6176699, 'exchange_timestamp': 1723440334000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:35 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6177463, 'exchange_timestamp': 1723440335000, 'last_traded_price': 2395, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:36 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6178397, 'exchange_timestamp': 1723440336000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:37 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6179000, 'exchange_timestamp': 1723440337000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:38 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6179769, 'exchange_timestamp': 1723440338000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:38 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6180071, 'exchange_timestamp': 1723440338000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:39 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6180566, 'exchange_timestamp': 1723440339000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:40 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6181329, 'exchange_timestamp': 1723440340000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:41 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6182111, 'exchange_timestamp': 1723440341000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:42 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6182879, 'exchange_timestamp': 1723440342000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:43 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6183622, 'exchange_timestamp': 1723440343000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:44 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6184424, 'exchange_timestamp': 1723440344000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:45 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6185160, 'exchange_timestamp': 1723440345000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:45 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6185457, 'exchange_timestamp': 1723440345000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:46 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6185961, 'exchange_timestamp': 1723440346000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
